,Unnamed: 0,name,country,city,town,address,total space (sqft),colocation space (sqft),total power (MW),latitude,longitude
2910,3019,China Telecom,hong kong, Tsuen Wan, 98 Wang Lung St,Global Gateway (hong Kong),,,,22.3716605,114.1134699
2911,3020,Lumen,usa, NY, Albany,316 North Pearl Street,15000,1524,,43.1561681,-75.8449946
2912,3021,Cogent Communications,france,Rouen,,,,,,49.4404591,1.0939658
2913,3022,China Telecom,china, Beijing, Chaoyang,8 N 3rd Ring Rd E,,,,39.9057136,116.3912972
2914,3023,MOD Mission Critical,usa, OR, Bend,20845 Sockeye Place,30000,,,43.9792797,-120.737257
2915,3024,Zenlayer,south korea, Gyeonggi-do, Seongnam-si, Bundang-gu,,,,37.2884675,127.0535231
2916,3025,Cogent Communications,usa, CO, Denver,4643 S Ulster St,319967,9501,,38.7251776,-105.607716
2917,3026,Lumen,usa, NY, Albany,194 Washington Avenue,6234,1333,,43.1561681,-75.8449946
2918,3027,Cogent Communications,usa, FL, Miami,200 Southeast 1st Street,141687,5386,,27.7567667,-81.4639835
2919,3028,Enzu,netherlands, Amsterdam,Lemelerbergweg 28,,,,,52.3730796,4.8924534
2920,3029,Prime Data Centers,usa, AZ, Avondale,11753 W Lower Buckeye Rd,260400,128000,48,34.395342,-111.763275
2921,3030,Cogent Communications,usa, CA, Pasadena,2947 Bradley Street,48627,48627,,36.7014631,-118.755997
2922,3031,MOD Mission Critical,south korea, Seoul, Gangnam-gu,467-6 Dogok-dong,,,,37.5666791,126.9782914
2923,3032,Zenlayer,hong kong, Tsuen Wan,168 Yeung Uk Rd,,,,,22.3716605,114.1134699
2924,3033,"Cato Digital, Inc",usa,CA, Santa Clara,4700 Old Ironsides Dr,,,,36.7014631,-118.755997
2925,3034,China Telecom,china, Zhejiang, Hangzhou, Xihu,,,,29.0000001,119.9999999
2926,3035,Digital Realty,kenya, Nairobi,Langata S Rd & LRC Rd,,20000,,2.5,-1.2832533,36.8172449
2927,3036,Digital Realty,usa,IL, Franklin Park,9377 Grand Avenue,179100,,20,40.0796606,-89.4337288
2928,3037,Cogent Communications,france,Rennes,,,,,,48.1113387,-1.6800198
2929,3038,China Telecom,china, Guangdong Sheng, Guangzhou Shi, Yuexiu Qu,,,,23.1357694,113.1982688
2930,3039,Lumen,usa, DE, Newark,504 Interchange Blvd,17440,3300,,38.6920451,-75.4013315
2931,3040,CyrusOne,usa, IL, Aurora,2805 Diehl Rd,428000,240000,50.4,40.0796606,-89.4337288
